id,name,bodyPart,target,muscle_group,equipment,instructions,tutorial_url,icon,description,difficulty level,difficulty reason
1,3/4 sit-up,waist,abs,"hip flexors, lower back",body weight,"Lie flat on your back with your knees bent and feet flat on the ground.
Place your hands behind your head with your elbows pointing outwards.
Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle.
Pause for a moment at the top, then slowly lower your upper body back down to the starting position.
Repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/MOnK4iG0MEt9h8,None,"The 3/4 sit-up is a core exercise that targets the abs, hip flexors, and lower back. It helps to strengthen the abdominal muscles and improve core endurance.",Beginner,"This exercise primarily uses bodyweight and involves simple, low-coordination movements."
2,45° side bend,waist,abs,obliques,body weight,"Stand with your feet shoulder-width apart and your arms extended straight down by your sides.
Keeping your back straight and your core engaged, slowly bend your torso to one side, lowering your hand towards your knee.
Pause for a moment at the bottom, then slowly return to the starting position.
Repeat on the other side.
Continue alternating sides for the desired number of repetitions.",https://v2.exercisedb.io/image/PERWLDGUxVbpHS,None,"The 45° side bend primarily targets the obliques, helping to strengthen and tone the waist. This exercise also improves flexibility in the torso and strengthens the core.",Beginner,"This is a bodyweight exercise that involves simple, controlled movements and requires low coordination, making it suitable for beginners."
3,air bike,waist,abs,hip flexors,body weight,"Lie flat on your back with your hands placed behind your head.
Lift your legs off the ground and bend your knees at a 90-degree angle.
Bring your right elbow towards your left knee while simultaneously straightening your right leg.
Return to the starting position and repeat the movement on the opposite side, bringing your left elbow towards your right knee while straightening your left leg.
Continue alternating sides in a pedaling motion for the desired number of repetitions.",https://v2.exercisedb.io/image/PLr4yo3j-f1amp,None,"The air bike is a dynamic core exercise that effectively targets the abdominal muscles and hip flexors. It helps improve core strength, stability, and muscular endurance.",Intermediate,This bodyweight exercise requires coordination between the upper and lower body to perform the alternating cross-body movement.
1512,all fours squad stretch,upper legs,quads,"hamstrings, glutes",body weight,"Start on all fours with your hands directly under your shoulders and your knees directly under your hips.
Extend one leg straight back, keeping your knee bent and your foot flexed.
Slowly lower your hips towards the ground, feeling a stretch in your quads.
Hold this position for 20-30 seconds.
Switch legs and repeat the stretch on the other side.",https://v2.exercisedb.io/image/XPQwM7HECjgNFE,None,"This all fours squat stretch targets the quadriceps, helping to improve flexibility and range of motion in the upper legs. It's a gentle stretch that can alleviate tightness in the front of your thighs.",Beginner,This is a bodyweight stretch that requires minimal coordination and no specialized equipment.
6,alternate heel touchers,waist,abs,obliques,body weight,"Lie flat on your back with your knees bent and feet flat on the ground.
Extend your arms straight out to the sides, parallel to the ground.
Engaging your abs, lift your shoulders off the ground and reach your right hand towards your right heel.
Return to the starting position and repeat on the left side, reaching your left hand towards your left heel.
Continue alternating sides for the desired number of repetitions.",https://v2.exercisedb.io/image/5nYph4eUGNiEdf,None,"Alternate heel touchers are a bodyweight exercise that primarily targets the oblique muscles, helping to strengthen the sides of your core. This exercise also contributes to improved core stability and definition.",Beginner,"This exercise is bodyweight-only, involves a simple range of motion, and requires low coordination, making it accessible for those new to core workouts."
7,alternate lateral pulldown,back,lats,"biceps, rhomboids",cable,"Sit on the cable machine with your back straight and feet flat on the ground.
Grasp the handles with an overhand grip, slightly wider than shoulder-width apart.
Lean back slightly and pull the handles towards your chest, squeezing your shoulder blades together.
Pause for a moment at the peak of the movement, then slowly release the handles back to the starting position.
Repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/Az5UYVYNa4j-oS,None,"The alternate lateral pulldown targets the lats, biceps, and rhomboids. It involves pulling cable handles towards your chest, squeezing your shoulder blades together to build back strength and width.",Intermediate,This exercise utilizes a cable machine and involves a compound pulling motion.
1368,ankle circles,lower legs,calves,ankle stabilizers,body weight,"Sit on the ground with your legs extended in front of you.
Lift one leg off the ground and rotate your ankle in a circular motion.
Perform the desired number of circles in one direction, then switch to the other direction.
Repeat with the other leg.",https://v2.exercisedb.io/image/ivmTcSJsMlXJeK,None,Ankle circles are a simple bodyweight exercise that targets the ankle stabilizers and calves. They help improve ankle mobility and can be used as a warm-up or cool-down. This exercise helps to increase the range of motion in your ankles.,Beginner,This is a bodyweight exercise that is simple to perform and requires low coordination.
3293,archer pull up,back,lats,"biceps, forearms",body weight,"Start by hanging from a pull-up bar with an overhand grip, slightly wider than shoulder-width apart.
Engage your core and pull your shoulder blades down and back.
As you pull yourself up, bend one arm and bring your elbow towards your side, while keeping the other arm straight.
Continue pulling until your chin is above the bar and your bent arm is fully flexed.
Lower yourself back down with control, straightening the bent arm and repeating the movement on the other side.
Alternate sides with each repetition.",https://v2.exercisedb.io/image/LSBkdKcbK4xj8n,None,"The Archer Pull-up is a challenging bodyweight exercise that primarily targets the lats, biceps, and forearms. It enhances unilateral upper body strength and improves overall body control and stability, offering a significant progression from standard pull-ups.",Advanced,"This exercise requires significant unilateral strength, high coordination, and body control, making it a complex bodyweight movement."
3294,archer push up,chest,pectorals,"triceps, shoulders, core",body weight,"Start in a push-up position with your hands slightly wider than shoulder-width apart.
Extend one arm straight out to the side, parallel to the ground.
Lower your body by bending your elbows, keeping your back straight and core engaged.
Push back up to the starting position.
Repeat on the other side, extending the opposite arm out to the side.
Continue alternating sides for the desired number of repetitions.",https://v2.exercisedb.io/image/GSjHZGSiL1VbQ7,None,"The archer push-up is a challenging bodyweight exercise that primarily targets the pectorals, triceps, and shoulders. It significantly improves unilateral upper body strength and core stability, making it an excellent progression for overall pushing power.",Advanced,"This exercise requires significant unilateral strength and stability due to one arm being extended, making it a complex and demanding bodyweight movement."
2355,arm slingers hanging bent knee legs,waist,abs,"shoulders, back",body weight,"Hang from a pull-up bar with your arms fully extended and your knees bent at a 90-degree angle.
Engage your core and lift your knees towards your chest, bringing them as close to your elbows as possible.
Slowly lower your legs back down to the starting position.
Repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/osybi41Me6RFK2,None,"This exercise targets the abdominal muscles, improving core strength and definition. It also engages the shoulders and back for stability during the hanging movement, enhancing grip strength and overall upper body endurance. Performing this exercise regularly can lead to a stronger, more stable core.",Intermediate,"This is an intermediate exercise because it utilizes bodyweight for a compound movement that requires significant core strength, stability, and coordination while hanging."
