workout_day,day_number,exercise_name,stage_of_exercises,sequence_order,sets,reps,weight,rest_seconds,notes,workout_type
Day 1: Upper Body Push,1,Arm Circles,warmup,1,2,30 sec,Bodyweight,30,Muscle Gain - Warmup: Focus on form and mobility,Muscle Gain
Day 1: Upper Body Push,1,Jumping Jacks,warmup,2,2,30 sec,Bodyweight,30,Muscle Gain - Warmup: Focus on form and mobility,Muscle Gain
Day 1: Upper Body Push,1,Cat-Cow Stretch,warmup,3,2,10,Bodyweight,30,Muscle Gain - Warmup: Focus on form and mobility,Muscle Gain
Day 1: Upper Body Push,1,Bench Press,main,1,4,8-10,Progressive overload,90,Muscle Gain - Main: Focus on intensity and form,Muscle Gain
Day 1: Upper Body Push,1,Overhead Press,main,2,4,8-10,Progressive overload,90,Muscle Gain - Main: Focus on intensity and form,Muscle Gain
Day 1: Upper Body Push,1,Incline Dumbbell Press,main,3,3,10-12,Progressive overload,75,Muscle Gain - Main: Focus on intensity and form,Muscle Gain
Day 1: Upper Body Push,1,Tricep Dips,main,4,3,10-15,Progressive overload,60,Muscle Gain - Main: Focus on intensity and form,Muscle Gain
Day 1: Upper Body Push,1,Lateral Raises,main,5,3,12-15,Progressive overload,60,Muscle Gain - Main: Focus on intensity and form,Muscle Gain
Day 1: Upper Body Push,1,Chest Stretch,relax,1,1,30 sec,Bodyweight,0,Muscle Gain - Cool down: Focus on recovery,Muscle Gain
Day 1: Upper Body Push,1,Tricep Stretch,relax,2,1,30 sec each,Bodyweight,0,Muscle Gain - Cool down: Focus on recovery,Muscle Gain
Day 1: Upper Body Push,1,Shoulder Rolls,relax,3,2,10,Bodyweight,0,Muscle Gain - Cool down: Focus on recovery,Muscle Gain
Day 2: Lower Body,2,Leg Swings,warmup,1,2,15 each,Bodyweight,30,Muscle Gain - Warmup: Focus on form and mobility,Muscle Gain
Day 2: Lower Body,2,Bodyweight Squats,warmup,2,2,15,Bodyweight,30,Muscle Gain - Warmup: Focus on form and mobility,Muscle Gain
Day 2: Lower Body,2,Hip Circles,warmup,3,2,10 each way,Bodyweight,30,Muscle Gain - Warmup: Focus on form and mobility,Muscle Gain
Day 2: Lower Body,2,Barbell Squats,main,1,4,6-8,Progressive overload,120,Muscle Gain - Main: Focus on intensity and form,Muscle Gain
Day 2: Lower Body,2,Romanian Deadlifts,main,2,4,8-10,Progressive overload,90,Muscle Gain - Main: Focus on intensity and form,Muscle Gain
Day 2: Lower Body,2,Leg Press,main,3,3,10-12,Progressive overload,75,Muscle Gain - Main: Focus on intensity and form,Muscle Gain
Day 2: Lower Body,2,Leg Curls,main,4,3,12-15,Progressive overload,60,Muscle Gain - Main: Focus on intensity and form,Muscle Gain
